insumo,precio,unidad
harina_0000,1000,kg
leche_polvo,8330,kg
azucar,1000,kg
glucosa,2000,kg
sal,500,kg
esencia_vainilla,2000,L
margarina_hoja,5500,kg
mantequilla,10000,kg
vainilla_tahiti,19550,kg
membrillo,2500,kg
manjar,4000,kg
dulce_de_leche,4000,kg
queso_crema,13160,kg
chocolate_baño,8000,kg
nutella,6663,kg
chocolate_blanco,8000,kg
nueces,4998,kg
crema_pistacho,22265,kg
pistacho_picado,55980,kg
manzana_verde,2000,kg
canela_polvo,7000,kg
maicena,2000,kg
huevo,180,unidad
queso_sandwich,10000,kg
jamon,10000,kg
pollo_pechuga,2900,kg
palta,3000,kg
cafe_9oz_insumo,845,unidad
galleta_chocolate_molida,50,porcion
agua,0,L
azucar_flor,2000,kg
pasta_vainilla,60964,L
cacao_polvo,8700,kg
harina_almendras,14790,kg
queso_parmesano,0,kg
azucar_morena,0,kg
bicarbonato,0,kg
polvos_hornear,0,kg
chocolate_negro_70,0,kg
chocolate_negro_56,0,kg
pasta_avellanas,0,kg
avellanas_picadas,0,kg
pasta_pistachos,0,kg
zeste_limon,0,kg
matcha_polvo,0,kg
chocolate_leche_40,0,kg
pasta_almendras,0,kg
almendras_laminadas,0,kg
pure_frambuesas,0,kg
pectina_nh,0,kg
acido_citrico,0,kg
leche_condensada,0,kg
mani,0,kg
tahini,0,kg
sesamo_negro,0,kg
nibs_cacao,0,kg
zeste_naranja,0,kg
manteca_vegetal,0,kg
crema_leche_35,0,kg
miel,0,kg
vaina_vainilla,0,unidad
flor_de_sal,0,kg
